"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828785446762975
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806906814449918,0.828785446762975
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831182795698925,0.806906814449918,0.828785446762975
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"11",NA,NA,NA,NA,NA,NA,NA,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"12",NA,NA,NA,NA,NA,NA,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"13",NA,NA,NA,NA,NA,0.605164949992536,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"14",NA,NA,NA,NA,0.532620320855615,0.605164949992536,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"15",NA,NA,NA,0.569657615112161,0.532620320855615,0.605164949992536,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"16",NA,NA,0.678024417314095,0.569657615112161,0.532620320855615,0.605164949992536,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
"17",NA,0.710648148148148,0.678024417314095,0.569657615112161,0.532620320855615,0.605164949992536,0.593724364232978,0.6391047489207,0.683125,0.636480908152735,0.631510658016682,0.672514619883041,0.797797340736412,0.827939728931627,0.831182795698925,0.806906814449918,0.828785446762975
