"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178874279195609
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175926768270047,0.178874279195609
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150785252968609,0.175926768270047,0.178874279195609
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"10",NA,NA,NA,NA,NA,NA,NA,NA,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"11",NA,NA,NA,NA,NA,NA,NA,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"12",NA,NA,NA,NA,NA,NA,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"13",NA,NA,NA,NA,NA,0.256241675868456,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"14",NA,NA,NA,NA,0.303358112435132,0.256241675868456,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"15",NA,NA,NA,0.294345750305829,0.303358112435132,0.256241675868456,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"16",NA,NA,0.225320115964601,0.294345750305829,0.303358112435132,0.256241675868456,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
"17",NA,0.227582805428748,0.225320115964601,0.294345750305829,0.303358112435132,0.256241675868456,0.281852827389156,0.254057395335598,0.237180562737085,0.249842135559524,0.277761950010845,0.243409872067824,0.163787585134248,0.169267650651779,0.150785252968609,0.175926768270047,0.178874279195609
