"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827241038202459,0.849575785370328,0.747116788321168,0.829705606013154,0.840618967557133,0.841997354497354,0.822182972953686,0.846518518518519,0.809529958677686,0.85139537742808,0.847826086956522,0.781716417910448,0.7377161055505
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.784151620736987,0.759032455603184,0.785212680577849,0.770474452554745,0.771166092493997,0.804564418706022,0.796329365079365,0.747876971383715,0.837456790123457,0.703835227272727,0.80009835259405,0.739154998771801,0.758871085747732,0.731119199272065
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812702651153919,0.855823038749868,0.829290122002921,0.844846365512497,0.766058394160584,0.775837770122142,0.839902858210349,0.838095238095238,0.793388282309284,0.794049382716049,0.683948863636364,0.781872387509221,0.825423728813559,0.796861281826163,0.788444040036397
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.755593621790805,0.76068090787717,0.851578502798015,0.868952847519902,0.836362072919055,0.780036496350365,0.826130076208373,0.830904788592067,0.798048941798942,0.832601869692428,0.856691358024691,0.725012913223141,0.823149741824441,0.79361336281012,0.791831284752707,0.772975432211101
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80815396700707,0.731643615446432,0.761920656112912,0.849667405764967,0.804159404588063,0.809476037606054,0.737080291970803,0.776829522914709,0.821501961516906,0.792261904761905,0.797170484550061,0.795728395061728,0.744770144628099,0.848782886648635,0.822746253991648,0.765035118525022,0.72270245677889
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787724550898204,0.794689709347997,0.748836865034048,0.76330345222201,0.844166402702988,0.827924066135946,0.816211878009631,0.767372262773723,0.810862302954379,0.823743695124229,0.83723544973545,0.741115392849497,0.83283950617284,0.719137396694215,0.819338578805016,0.802407270940801,0.773906204272754,0.749317561419472
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775784111721612,0.799260302923565,0.770526315789474,0.732055999661633,0.795107762731261,0.780941822405237,0.816312591266664,0.794958151800046,0.720328467153285,0.786903643386575,0.786568279469456,0.794907407407407,0.756815100264041,0.764617283950617,0.696539256198347,0.809810671256454,0.75912552198477,0.735861135498976,0.679253867151956
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745454545454545,0.731770833333333,0.786650228953857,0.759607227022781,0.743359556739838,0.748378790768644,0.810505754408193,0.810424419426257,0.831747305663839,0.712481751824818,0.770330932247625,0.808051559872968,0.791765873015873,0.794726325554842,0.750271604938272,0.641722623966942,0.757007622326039,0.821296978629329,0.744329821480831,0.719517743403094
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779266355858394,0.720352564102564,0.763721955128205,0.755195491370201,0.780015710919089,0.732923063908979,0.734455464428762,0.786073276317179,0.806797305572566,0.764001949094244,0.692773722627737,0.809165883703936,0.75910704277975,0.782242063492063,0.738385784628559,0.823753086419753,0.694473140495868,0.843834521760511,0.787939081306804,0.778003365525315,0.700636942675159
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746834415584416,0.750636132315522,0.702928321678322,0.672962454212454,0.751796407185629,0.779073055773763,0.719494142029353,0.693496090024795,0.765177911519375,0.79297187809129,0.670932698922265,0.731204379562044,0.7560288130285,0.754685845943085,0.731283068783069,0.798437165489189,0.697901234567901,0.677815082644628,0.717728055077453,0.735273888479489,0.669830992098332,0.505004549590537
