"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119915354330709,0.111083513513514,0.108234801762115,0.11557962962963,0.111533692722372,0.105827247191011,0.126746503496503,0.129223887587822,0.104975291375291,0.107695620437956,0.108179265091864,0.121293811881188,0.0941880749574106,0.102813450292398
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.120157794676806,0.120286220472441,0.111977297297297,0.108884581497797,0.113569135802469,0.116141509433962,0.104897471910112,0.130640559440559,0.123803512880562,0.0988104895104895,0.110350729927007,0.115231496062992,0.120293811881188,0.0995519591141397,0.101670760233918
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.161435368421053,0.12578288973384,0.121931299212598,0.114165945945946,0.106950440528634,0.120709567901235,0.115068194070081,0.10928202247191,0.136954545454545,0.125645433255269,0.0947694638694639,0.117570072992701,0.106676377952756,0.12285495049505,0.0998456558773424,0.103918713450292
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136296279069767,0.165832,0.128346768060837,0.120464173228346,0.118498648648649,0.110208149779736,0.120230555555556,0.115917250673854,0.105022471910112,0.131233916083916,0.125253395784543,0.0988717948717949,0.104228467153285,0.1073343832021,0.119184158415842,0.0978211243611584,0.0950912280701754
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121895704057279,0.145716279069767,0.166270105263158,0.124784030418251,0.122424606299213,0.119001081081081,0.110037665198238,0.120476543209877,0.118058490566038,0.113155056179775,0.131537762237762,0.12705831381733,0.0963368298368298,0.104324452554745,0.114553543307087,0.120065099009901,0.0953396933560477,0.101495321637427
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131937608695652,0.122215035799523,0.14297023255814,0.163414526315789,0.131342585551331,0.125338385826772,0.121515135135135,0.116007929515419,0.12050987654321,0.124122911051213,0.117944382022472,0.13699020979021,0.13756018735363,0.109255710955711,0.120123722627737,0.119221522309711,0.141823514851485,0.1118867120954,0.10964269005848
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159224407582938,0.139478913043478,0.126108830548926,0.15144488372093,0.164474947368421,0.131928517110266,0.133349212598425,0.127561351351351,0.12486718061674,0.132887962962963,0.1305474393531,0.119041853932584,0.138182167832168,0.144469320843091,0.119616783216783,0.138106569343066,0.137167716535433,0.140118316831683,0.11819863713799,0.125073099415205
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140744095940959,0.160018957345972,0.12989,0.123514797136038,0.139616744186047,0.163645263157895,0.128699619771863,0.119512992125984,0.124637567567568,0.116701982378855,0.117952160493827,0.120747169811321,0.114811797752809,0.132098601398601,0.128692740046838,0.100985780885781,0.109152189781022,0.106299475065617,0.128862128712871,0.101948381601363,0.0979157894736842
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116975314861461,0.139542619926199,0.162898104265403,0.132260217391304,0.125892840095465,0.144026046511628,0.163832210526316,0.130873764258555,0.124128543307087,0.128685405405405,0.11875704845815,0.117338580246914,0.127003504043127,0.115511235955056,0.141717132867133,0.132299297423888,0.10724662004662,0.109241605839416,0.121171653543307,0.133315841584158,0.106720954003407,0.106563742690058
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155401355932203,0.118362468513854,0.141635608856089,0.161651895734597,0.131662608695652,0.125593556085919,0.141423488372093,0.164381052631579,0.129795817490494,0.124803543307087,0.130444864864865,0.118742070484582,0.120312345679012,0.131229110512129,0.123106460674157,0.139710839160839,0.134813114754098,0.109314918414918,0.107301824817518,0.116011811023622,0.13190297029703,0.105630323679727,0.112750877192982
