"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19399218328841,0.200476123595506,0.187950699300699,0.203629039812646,0.181014918414918,0.185590145985401,0.206670341207349,0.222996782178218,0.198326746166951,0.200702923976608
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176491358024691,0.177300269541779,0.177403370786517,0.187501748251748,0.185226463700234,0.165547785547786,0.137621167883212,0.171741994750656,0.207102227722772,0.170139522998296,0.188433918128655
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156995594713656,0.180159259259259,0.161229649595687,0.161269382022472,0.183633566433566,0.196058782201405,0.149255477855478,0.153318248175182,0.171319160104987,0.200375,0.192207666098807,0.189790643274854
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153294594594595,0.131456387665198,0.161841666666667,0.14729218328841,0.147311797752809,0.159542657342657,0.164915456674473,0.149530536130536,0.122234306569343,0.155341732283465,0.185413613861386,0.162131686541738,0.150486549707602
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188804921259843,0.195172162162162,0.162049559471366,0.199427160493827,0.197351482479784,0.200878370786517,0.193422727272727,0.206677985948478,0.183906993006993,0.180695255474453,0.179536220472441,0.224589356435644,0.205951277683135,0.204975438596491
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164230418250951,0.154757874015748,0.166707027027027,0.150754625550661,0.169361111111111,0.181371428571429,0.186951685393258,0.175226223776224,0.188152459016393,0.17845710955711,0.174743430656934,0.19334094488189,0.202457920792079,0.169463884156729,0.203833918128655
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212233684210526,0.197838403041825,0.184550393700787,0.160480540540541,0.15694140969163,0.182349074074074,0.18381320754717,0.199594943820225,0.193012937062937,0.207648946135831,0.178145920745921,0.171774817518248,0.193970866141732,0.232012871287129,0.229730153321976,0.220770175438596
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180049069767442,0.210249473684211,0.196585931558935,0.177317125984252,0.194534864864865,0.153214757709251,0.19115,0.195956603773585,0.193321348314607,0.20159965034965,0.201929274004684,0.18673006993007,0.16891204379562,0.184511023622047,0.202814603960396,0.207750085178876,0.184898245614035
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163457517899761,0.170752325581395,0.193984,0.153422433460076,0.159549212598425,0.155580810810811,0.148672026431718,0.180381172839506,0.180709973045822,0.185130056179775,0.185083916083916,0.193736533957845,0.172811188811189,0.149371532846715,0.165234645669291,0.208931930693069,0.215627427597956,0.177524561403509
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.196266304347826,0.183084725536993,0.207864651162791,0.208265263157895,0.189320912547529,0.19619842519685,0.198777027027027,0.188469162995595,0.211501234567901,0.219963881401617,0.225354494382022,0.207677272727273,0.212133489461358,0.202117482517483,0.181866788321168,0.205333595800525,0.219156435643564,0.214894207836457,0.225118713450292
