"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148717567567568,0.11743127753304,0.161480555555556,0.156877358490566,0.153063202247191,0.169794405594406,0.166711943793911,0.135645221445221,0.139855474452555,0.171048031496063,0.180451732673267,0.149076831345826,0.133076023391813
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151775590551181,0.158398648648649,0.122603744493392,0.167106790123457,0.156977628032345,0.166078651685393,0.178772377622378,0.169416393442623,0.150675990675991,0.143660948905109,0.16985406824147,0.186385396039604,0.149795570698467,0.142871929824561
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158291254752852,0.140744291338583,0.152828648648649,0.123894273127753,0.167469444444444,0.166350404312668,0.16747191011236,0.177132867132867,0.168817798594848,0.142181818181818,0.136365328467153,0.16945406824147,0.186798267326733,0.150019931856899,0.147751461988304
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182618947368421,0.159887452471483,0.154726771653543,0.158555675675676,0.129287004405286,0.169559567901235,0.169261725067385,0.162949438202247,0.184334965034965,0.167962295081967,0.144681585081585,0.142872262773723,0.178732283464567,0.178778217821782,0.146455536626917,0.144297076023392
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167297906976744,0.182658315789474,0.161103422053232,0.152772834645669,0.159610540540541,0.127621806167401,0.174886419753086,0.166894070080863,0.165469382022472,0.177552797202797,0.177930679156909,0.148299300699301,0.144236861313869,0.177030446194226,0.175509158415842,0.15208262350937,0.148347953216374
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158690453460621,0.178711860465116,0.179683368421053,0.161422053231939,0.15862342519685,0.166866486486486,0.132914977973568,0.173083024691358,0.16969218328841,0.16847191011236,0.188082867132867,0.176758782201405,0.152087412587413,0.140901459854015,0.159592388451444,0.177389851485148,0.149913969335605,0.143344444444444
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166365,0.155270405727924,0.176159069767442,0.184775578947368,0.167094296577947,0.162888188976378,0.167770540540541,0.139104185022026,0.176279320987654,0.176917520215633,0.186296348314607,0.188197202797203,0.173533255269321,0.161531934731935,0.162397810218978,0.199123884514436,0.187759405940594,0.155197444633731,0.162252046783626
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.193499052132701,0.177073043478261,0.166013126491647,0.18844,0.190815578947368,0.169747148288973,0.170186220472441,0.177741351351351,0.144745594713656,0.193761728395062,0.188598113207547,0.186996348314607,0.199544755244755,0.201415690866511,0.171531934731935,0.170509854014599,0.233165091863517,0.221572277227723,0.17282129471891,0.182702923976608
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156965498154982,0.196120142180095,0.181156956521739,0.164354415274463,0.181380465116279,0.185165684210526,0.171278707224335,0.176774015748031,0.190099189189189,0.150528414096916,0.184232407407407,0.17448409703504,0.186637078651685,0.187705944055944,0.193933957845433,0.174619813519814,0.166197445255474,0.203929921259843,0.216612128712871,0.177193015332198,0.161678947368421
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.158355667506297,0.159170295202952,0.198477488151659,0.178272608695652,0.16237923627685,0.183748139534884,0.187271368421053,0.16744752851711,0.162288976377953,0.168531351351351,0.139262775330396,0.177039814814815,0.180826954177898,0.181456741573034,0.185618531468531,0.181830444964871,0.166278321678322,0.143553649635037,0.184302099737533,0.198167574257426,0.164795911413969,0.158170760233918
