"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855337345581248,0.840053700127184,0.883785255675304,0.768284671532847,0.842833281135818,0.845600597795629,0.853571428571429,0.821255262970099,0.818345679012346,0.671745867768595,0.791246619129579,0.839523458609678,0.81729221539362,0.739308462238399
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.803213808888041,0.854988913525499,0.83854632813604,0.877479362531529,0.773576642335766,0.823650694226955,0.858085808580858,0.832242063492064,0.836615999429102,0.836395061728395,0.6484375,0.788634128350135,0.84460820437239,0.811731782265145,0.720200181983621
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787347206361291,0.802689300019073,0.851504592968008,0.836615007772387,0.880087709241,0.742627737226277,0.835760517799353,0.825144778628806,0.817890211640212,0.83231642046671,0.838296296296296,0.631973140495868,0.805907302680108,0.835273888479489,0.788575504828797,0.718152866242038
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82344069128044,0.778243031764159,0.793963379744421,0.860796114454651,0.828983937067219,0.862115913781243,0.762299270072993,0.831506420294394,0.842362538140606,0.820006613756614,0.829354884749875,0.832444444444444,0.691115702479339,0.798991885910991,0.839572586588062,0.773339186420837,0.732484076433121
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815392743923917,0.802388059701493,0.781288330584105,0.795107762731261,0.848051948051948,0.825427481275613,0.870213253840862,0.741131386861314,0.821301806034033,0.811320754716981,0.823875661375661,0.821094697780632,0.833703703703704,0.658316115702479,0.780919596754364,0.818324735937116,0.810469710272169,0.682438580527753
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.796817765567766,0.811482916519901,0.803927729772192,0.786268663029226,0.783425519740606,0.840724316334072,0.812049554854209,0.856397615225866,0.772773722627737,0.81266311723562,0.818419577806837,0.825198412698413,0.800952686790837,0.812246913580247,0.630294421487603,0.779782394885665,0.804814541881602,0.7756804214223,0.67697907188353
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764452214452214,0.789706387362637,0.809633673828813,0.798428908091123,0.784058706593918,0.780707610146863,0.836036321402175,0.816665881577088,0.831145379500115,0.746532846715328,0.805929637749243,0.825642941652656,0.827910052910053,0.797081281667024,0.790197530864198,0.631069214876033,0.768010818785345,0.838590027020388,0.799293971319871,0.628980891719745
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829371381730621,0.754734848484849,0.803957760989011,0.814494540331102,0.815962293794187,0.785983166264856,0.790434865534999,0.868039277795375,0.807244806632437,0.851252579683559,0.779598540145985,0.8162647457981,0.81493243663989,0.813392857142857,0.822807393134946,0.823135802469136,0.654377582644628,0.812546102778461,0.828371407516581,0.787368305531168,0.731119199272065
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812459415584416,0.836475570811346,0.749184149184149,0.796102335164835,0.807502641775273,0.810463472113119,0.788806412045849,0.793438870875453,0.853721887868229,0.801662819727731,0.8432412290759,0.780729927007299,0.811123290531371,0.826545862133383,0.80489417989418,0.822593306215657,0.813432098765432,0.659542871900826,0.784577083845586,0.821763694423974,0.773430640913082,0.705186533212011
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742906934083405,0.805641233766234,0.826271837696603,0.754064685314685,0.803313873626374,0.811764705882353,0.812427336999214,0.788320010150996,0.787144764447835,0.854524337451167,0.799731499364077,0.845906902086677,0.779233576642336,0.797473640254724,0.816862818357307,0.806448412698413,0.811960322557625,0.813654320987654,0.68672520661157,0.792568232112122,0.827364283959715,0.781771290605795,0.684030937215651
