"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811836539228989,0.905038114268798
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768712129172358,0.821384388219331,0.903409931912374
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805039637599094,0.744644087189007,0.812639675951792,0.897739046773239
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829019173624685,0.800088268603024,0.75762086558556,0.818735533562136,0.892817495559503
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83706060726968,0.829314065554137,0.800472153753914,0.74818161652248,0.814016481762311,0.890560242747188
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775843778788978,0.836678237508146,0.823557458732078,0.795700652854573,0.742046396506836,0.806648575305292,0.895463291888692
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805966388460492,0.766905818746918,0.83180551676442,0.818375947665156,0.790646026247419,0.743931911316591,0.816630417431559,0.903104647720545
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.801659832796945,0.801018098521274,0.774661976680346,0.83582039926053,0.822531551176743,0.787170241822663,0.751579045684331,0.821848311916354,0.915852575488455
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.821669384093992,0.801923726507595,0.798700671323596,0.751421419465304,0.819814068547261,0.818844837131526,0.78650572913197,0.74145680828459,0.805421422300263,0.902355313795145
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.752439796497512,0.826771740523248,0.797425022909884,0.796717771931416,0.759331118617571,0.824874649217306,0.817181691843583,0.781452767970155,0.746768939791951,0.815423218133929,0.912568457667259
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773208055993461,0.745669015455289,0.816171564663724,0.799502550581583,0.796302957452599,0.751379544587439,0.823882150314541,0.820256024947179,0.777130104589967,0.740867220062345,0.806538829914598,0.903363676731794
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.802187137655271,0.773634709328351,0.752611908952511,0.815073547281026,0.795554309716606,0.797318787988751,0.757367652122126,0.828113154849779,0.805348729479024,0.781857471187796,0.7279488167373,0.805102162981882,0.898682652457075
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.793624417540061,0.795719877790902,0.771634942877717,0.743833149268625,0.81278582695953,0.791965746205404,0.797763539871178,0.744814494291058,0.820966165263536,0.798252115651869,0.775228998734262,0.727254153386338,0.800388099608907,0.887239120781528
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724118787479449,0.789012012423711,0.788752910063438,0.770601000369787,0.733453129065901,0.819038119098433,0.792032990232414,0.794318697269346,0.743032485599695,0.820653619545412,0.818977030065419,0.778432482845913,0.743254760487082,0.795703966797031,0.905297143280047
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764530963999202,0.704333677571411,0.784330271528365,0.78657409333548,0.755088213541971,0.729432049388079,0.810527932059898,0.768623076899018,0.780364238410596,0.754273563924327,0.824397518254,0.788602031477736,0.781423622676704,0.752121933849369,0.778628581690478,0.915130994671403
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768760089569338,0.756552802515851,0.701213360027623,0.775544325260442,0.77898848275126,0.761565255152683,0.73953033789363,0.808669918742295,0.771616218008263,0.776334255647283,0.753989745307687,0.815292130497812,0.777697809212831,0.77221287722337,0.735736051276663,0.787318421262671,0.9186463883955
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774597308724963,0.759930503283104,0.747970920553623,0.699042997025403,0.759667219777086,0.75768690882977,0.74639032424437,0.724820869864543,0.821424152847555,0.773350879332939,0.776780141522272,0.723714208611336,0.80672538536222,0.770617013343577,0.760757944174272,0.731754871399718,0.777306648575305,0.891846136767318
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.765496822645869,0.775631359389463,0.748449342668996,0.746995199964326,0.695407510303384,0.770772763015035,0.741276140826268,0.747258835951032,0.736818542248485,0.815192848968482,0.789419856066506,0.781615712600925,0.7360719503457,0.802442844033037,0.775476515981787,0.767164079674905,0.710436295284462,0.75959773325884,0.87291851687389
"21",NA,NA,NA,NA,NA,NA,NA,0.728803230409909,0.75672511638971,0.779326862662851,0.76050995819782,0.735031872831437,0.684010035701501,0.763058369695222,0.755480054194561,0.748046456861486,0.731884651871825,0.816569236955244,0.785922384754684,0.766460582418579,0.747741082977397,0.810933115216321,0.786754719965652,0.777746319365798,0.749255717838254,0.763832907654242,0.895222764949674
"22",NA,NA,NA,NA,NA,NA,0.764266538937097,0.719731330307736,0.750903082203419,0.76871777717602,0.756005927104193,0.740581748185521,0.677401139787058,0.747609097484529,0.748149950345771,0.753350886027909,0.742139685648895,0.800272405519691,0.781925274684031,0.778847863558015,0.760010422191824,0.808873305935709,0.784986498243077,0.760686330024649,0.730914270369981,0.755971146939101,0.881799511545293
"23",NA,NA,NA,NA,NA,0.768934251299179,0.749983105536557,0.713178820072933,0.749365378733816,0.755164058752838,0.741331610117737,0.733162847660182,0.66818709550706,0.74089928505357,0.731527541364958,0.742845117845118,0.694047572702145,0.773480339523765,0.772093572409307,0.720130182346004,0.742953388608172,0.773465866017636,0.756557108477296,0.743039271201119,0.71357103662452,0.733513249261713,0.889422365304914
